"D150_4_POOLED","PCTFLOAN","DEBT_MDN","GRAD_DEBT_MDN","WDRAW_DEBT_MDN","LO_INC_DEBT_MDN","MD_INC_DEBT_MDN","HI_INC_DEBT_MDN","DEP_DEBT_MDN","IND_DEBT_MDN","PELL_DEBT_MDN","NOPELL_DEBT_MDN","FEMALE_DEBT_MDN","MALE_DEBT_MDN","FIRSTGEN_DEBT_MDN","NOTFIRSTGEN_DEBT_MDN","DEBT_N","GRAD_DEBT_N","WDRAW_DEBT_N","LO_INC_DEBT_N","MD_INC_DEBT_N","HI_INC_DEBT_N","DEP_DEBT_N","IND_DEBT_N","PELL_DEBT_N","NOPELL_DEBT_N","FEMALE_DEBT_N","MALE_DEBT_N","FIRSTGEN_DEBT_N","NOTFIRSTGEN_DEBT_N","GRAD_DEBT_MDN10YR","CUML_DEBT_N","CUML_DEBT_P90","CUML_DEBT_P75","CUML_DEBT_P25","CUML_DEBT_P10","LOAN_EVER","DEBT_MDN_SUPP","GRAD_DEBT_MDN_SUPP","GRAD_DEBT_MDN10YR_SUPP"
"1926","0.8284","15000","33888","11500","14413","18255","17250","15000","18951","17000","11000","17500","14331","15738","15000","2887","695","2203","1814","750","323","2463","424","2523","364","1489","1398","1088","1799","347.789507913825","2887","48312","33634","8000","4750","0.888976689","15000","33888","347.789507913825"
"2624","0.5214","14382","21941.5","10000","14725","14692.5","14000","14500","14093","17350","11750","14725","14000","14582","14250","6051","2706","3364","2813","1696","1542","3935","2116","3652","2399","3887","2164","2153","3898","225.183648722001","6051","37500","26000","6500","3666","0.861990008","14382","21941.5","225.183648722001"
"17","0.7795","9500","23370","8687.5","8563","15750","13882","5498","10175","9500","12277","10875","8563","9496","11000","412","47","368","299","91","22","33","379","363","49","260","152","241","171","239.844216240146","412","37502","22894.5","4750","3166","0.942598187","9500","23370","239.844216240146"
"1524","0.4596","15750","24097","9500","17107","16938","14000","15000","18750","18687.5","12500","16500","15245.5","16875","15500","2523","1174","1350","1083","670","770","1595","928","1544","979","1285","1238","774","1749","247.305352106924","2523","39250","28000","6750","3655","0.860371673","15750","24097","247.305352106924"
"2681","0.7554","14362","33118.5","11500","14250","15019","14250","14250","14840","15000","9500","15500","13738","14971.5","14250","3931","836","3106","2705","909","317","3220","711","3518","413","2317","1614","1596","2335","339.892198354698","3931","44495","30750","7918","4701","0.847371968","14362","33118.5","339.892198354698"
"9447","0.401","17375","23750","10000","18250","17250","16500","17250","17741.5","20000","14000","17750","16513.5","18024","17000","9396","4989","4415","2915","2279","4202","7802","1594","4883","4513","5482","3914","2529","6867","243.744122195271","9396","34500","27000","7500","4750","0.901944895","17375","23750","243.744122195271"
"NULL","0.3977","6506","16127","6113","7174.5","6239","4500","4500","9788","7031.5","5315","7381.5","5500","8000","5500","1165","74","1095","832","229","104","507","658","992","173","812","353","674","491","165.509956153395","1165","26000","14283","3500","2250","0.455589587","6506","16127","165.509956153395"
"NULL","0.6296","12750","18595","8699","12833","13629","12258","8750","14595","14000","11758","12832","12666","13562","12500","1848","893","966","941","582","325","448","1400","1271","577","1307","541","886","962","190.838819040887","1848","33524","24471","6250","3384","0.764894299","12750","18595","190.838819040887"
"1247","0.5803","9500","21335","6750","9500","10500","10250","9000","12500","9975","9473","10500","9500","11250","9500","2583","741","1850","1435","652","496","1696","887","1822","761","1740","843","1030","1553","218.959193559415","2583","37015","21750","4750","2750","0.877063423","9500","21335","218.959193559415"
"8132","0.3494","17500","21831","8250","16500","18750","17475","17500","18000","20500","15000","18000","17000","19500","16907.5","5667","3708","1975","1434","1309","2924","5111","556","2533","3134","2782","2885","1153","4514","224.049597121893","5667","34000","27000","7500","4766","0.872159091","17500","21831","224.049597121893"
"899","0.4809","21500","27000","10500","19750","25717","21500","PrivacySuppressed","PrivacySuppressed","25358.5","21500","26151","19750","19500","24176","389","223","166","85","105","199","376","13","178","211","158","231","89","300","277.098581021992","389","37416","27000","7500","5500","0.927007299","21500","27000","277.098581021992"
"NULL","0.2537","5500","9000","5499.5","5500","5800","5500","4470","6334","5563","5500","6122","4638","5928.5","5500","755","107","650","519","159","77","293","462","612","143","509","246","344","411","92.3661936739974","755","15834","9500","3298","2000","0.364307692","5500","9000","92.3661936739974"
